descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,origen,es_aumentada,texto_normalizado
nuevo cred,nuevo crédito,Deudas,Nuevo crédito,test,ab555f6c9506,catalogo_controlado,True,nuevo cred
libros de estudio,libros de estudio,Educación,Material escolar,test,1c5cf03667b7,catalogo_controlado,False,libros de estudio
cargo libros de estudio,libros de estudio,Educación,Material escolar,test,1c5cf03667b7,catalogo_controlado,True,cargo libros de estudio
Papelería,Papelería,Educación,Papelería,test,25d6432362f6,transactions,False,papeleria
cargo papelería,Papelería,Educación,Papelería,test,25d6432362f6,transactions,True,cargo papeleria
Entrada a concierto,Entrada a concierto,Entretenimiento,Conciertos,test,180ef9163838,transactions,False,entrada a concierto
cargo entrada a concierto,Entrada a concierto,Entretenimiento,Conciertos,test,180ef9163838,transactions,True,cargo entrada a concierto
Entrada a museo,Entrada a museo,Entretenimiento,Museos,test,840607457ca1,transactions,False,entrada a museo
cargo entrada a museo,Entrada a museo,Entretenimiento,Museos,test,840607457ca1,transactions,True,cargo entrada a museo
Evento deportivo,Evento deportivo,Entretenimiento,Deportes,test,848b964cabe6,transactions,False,evento deportivo
cargo evento deportivo,Evento deportivo,Entretenimiento,Deportes,test,848b964cabe6,transactions,True,cargo evento deportivo
Depósito a fondo de ahorro,Depósito a fondo de ahorro,Finanzas,Ahorro,test,af35ec67818d,transactions,False,deposito a fondo de ahorro
cargo depósito a fondo de ahorro,Depósito a fondo de ahorro,Finanzas,Ahorro,test,af35ec67818d,transactions,True,cargo deposito a fondo de ahorro
transferencia a ahorro,transferencia a ahorro,Finanzas,Ahorro,test,ee1e79ebbae3,catalogo_controlado,False,transferencia a ahorro
transf a ahorro,transferencia a ahorro,Finanzas,Ahorro,test,ee1e79ebbae3,catalogo_controlado,True,transf a ahorro
donativo mensual,donativo mensual,Otros,Donaciones,test,328cf1490bab,catalogo_controlado,False,donativo mensual
donativo mens,donativo mensual,Otros,Donaciones,test,328cf1490bab,catalogo_controlado,True,donativo mens
gasto sin clasificar,gasto sin clasificar,Otros,Otros,test,e22aa22c534b,catalogo_controlado,False,gasto sin clasificar
cargo gasto sin clasificar,gasto sin clasificar,Otros,Otros,test,e22aa22c534b,catalogo_controlado,True,cargo gasto sin clasificar
laboratorio clínico,laboratorio clínico,Salud,Laboratorios,test,09ff9890cd91,catalogo_controlado,False,laboratorio clinico
cargo laboratorio clínico,laboratorio clínico,Salud,Laboratorios,test,09ff9890cd91,catalogo_controlado,True,cargo laboratorio clinico
Óptica,Óptica,Salud,Óptica,test,3abc9f5a4a70,transactions,False,optica
cargo óptica,Óptica,Salud,Óptica,test,3abc9f5a4a70,transactions,True,cargo optica
Medicinas,Medicinas,Salud,Medicinas,test,69c349704e03,transactions,False,medicinas
cargo medicinas,Medicinas,Salud,Medicinas,test,69c349704e03,transactions,True,cargo medicinas
Televisión de paga,Televisión de paga,Servicios,TV de paga,test,07d73862dcc6,transactions,False,television de paga
cargo televisión de paga,Televisión de paga,Servicios,TV de paga,test,07d73862dcc6,transactions,True,cargo television de paga
servicio de televisión,servicio de televisión,Servicios,TV de paga,test,410d3807ecfd,catalogo_controlado,False,servicio de television
serv de televisión,servicio de televisión,Servicios,TV de paga,test,410d3807ecfd,catalogo_controlado,True,serv de television
Combustible,Combustible,Transporte,Combustible,test,12c106cc092d,transactions,False,combustible
cargo combustible,Combustible,Transporte,Combustible,test,12c106cc092d,transactions,True,cargo combustible
Tren,Tren,Transporte,Tren,test,4d72c12d6aa1,transactions,False,tren
cargo tren,Tren,Transporte,Tren,test,4d72c12d6aa1,transactions,True,cargo tren
pasaje de camión,pasaje de camión,Transporte,Autobús,test,c3deaa4d112d,catalogo_controlado,False,pasaje de camion
cargo pasaje de camión,pasaje de camión,Transporte,Autobús,test,c3deaa4d112d,catalogo_controlado,True,cargo pasaje de camion
pago hipotecario,pago hipotecario,Vivienda,Hipoteca,test,2da9a422e1a0,catalogo_controlado,False,pago hipotecario
pg hipotecario,pago hipotecario,Vivienda,Hipoteca,test,2da9a422e1a0,catalogo_controlado,True,pg hipotecario
muebles para el hogar,muebles para el hogar,Vivienda,Muebles,test,9acabced744a,catalogo_controlado,False,muebles para el hogar
cargo muebles para el hogar,muebles para el hogar,Vivienda,Muebles,test,9acabced744a,catalogo_controlado,True,cargo muebles para el hogar
Despensa,Despensa,Alimentación,Supermercado,train,1b32fa867fbb,transactions,False,despensa
cargo despensa,Despensa,Alimentación,Supermercado,train,1b32fa867fbb,transactions,True,cargo despensa
despensa mensual,Despensa,Alimentación,Supermercado,train,1b32fa867fbb,transactions,True,despensa mensual
despensa 2025,Despensa,Alimentación,Supermercado,train,1b32fa867fbb,transactions,True,despensa 2025
desensa,Despensa,Alimentación,Supermercado,train,1b32fa867fbb,transactions,True,desensa
Compra de víveres,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,transactions,False,compra de viveres
comp de víveres,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,transactions,True,comp de viveres
cargo compra de víveres,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,transactions,True,cargo compra de viveres
compra de víveres mensual,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,transactions,True,compra de viveres mensual
compra de víveres 2025,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,transactions,True,compra de viveres 2025
croquetas mascota,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,catalogo_controlado,False,croquetas mascota
cargo croquetas mascota,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,catalogo_controlado,True,cargo croquetas mascota
croquetas mascota mensual,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,catalogo_controlado,True,croquetas mascota mensual
croquetas mascota 2025,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,catalogo_controlado,True,croquetas mascota 2025
croquetas masota,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,catalogo_controlado,True,croquetas masota
Compra de alimentos,Compra de alimentos,Alimentación,Supermercado,train,548820314234,transactions,False,compra de alimentos
comp de alimentos,Compra de alimentos,Alimentación,Supermercado,train,548820314234,transactions,True,comp de alimentos
cargo compra de alimentos,Compra de alimentos,Alimentación,Supermercado,train,548820314234,transactions,True,cargo compra de alimentos
compra de alimentos mensual,Compra de alimentos,Alimentación,Supermercado,train,548820314234,transactions,True,compra de alimentos mensual
compra de alimentos 2025,Compra de alimentos,Alimentación,Supermercado,train,548820314234,transactions,True,compra de alimentos 2025
Comida en restaurante,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,transactions,False,comida en restaurante
comida en rest,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,transactions,True,comida en rest
cargo comida en restaurante,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,transactions,True,cargo comida en restaurante
comida en restaurante mensual,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,transactions,True,comida en restaurante mensual
comida en restaurante 2025,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,transactions,True,comida en restaurante 2025
Alimento para mascotas,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,transactions,False,alimento para mascotas
cargo alimento para mascotas,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,transactions,True,cargo alimento para mascotas
alimento para mascotas mensual,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,transactions,True,alimento para mascotas mensual
alimento para mascotas 2025,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,transactions,True,alimento para mascotas 2025
alimento para masotas,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,transactions,True,alimento para masotas
Supermercado,Supermercado,Alimentación,Supermercado,train,89da14787efb,transactions,False,supermercado
super,Supermercado,Alimentación,Supermercado,train,89da14787efb,transactions,True,super
cargo supermercado,Supermercado,Alimentación,Supermercado,train,89da14787efb,transactions,True,cargo supermercado
supermercado mensual,Supermercado,Alimentación,Supermercado,train,89da14787efb,transactions,True,supermercado mensual
supermercado 2025,Supermercado,Alimentación,Supermercado,train,89da14787efb,transactions,True,supermercado 2025
Almuerzo fuera de casa,Almuerzo fuera de casa,Alimentación,Restaurante,train,8ea97f3926e1,transactions,False,almuerzo fuera de casa
cargo almuerzo fuera de casa,Almuerzo fuera de casa,Alimentación,Restaurante,train,8ea97f3926e1,transactions,True,cargo almuerzo fuera de casa
almuerzo fuera de casa mensual,Almuerzo fuera de casa,Alimentación,Restaurante,train,8ea97f3926e1,transactions,True,almuerzo fuera de casa mensual
almuerzo fuera de casa 2025,Almuerzo fuera de casa,Alimentación,Restaurante,train,8ea97f3926e1,transactions,True,almuerzo fuera de casa 2025
aluerzo fuera de casa,Almuerzo fuera de casa,Alimentación,Restaurante,train,8ea97f3926e1,transactions,True,aluerzo fuera de casa
Restaurante,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,transactions,False,restaurante
rest,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,transactions,True,rest
cargo restaurante,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,transactions,True,cargo restaurante
restaurante mensual,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,transactions,True,restaurante mensual
restaurante 2025,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,transactions,True,restaurante 2025
super semanal,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,catalogo_controlado,False,super semanal
cargo super semanal,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,catalogo_controlado,True,cargo super semanal
super semanal mensual,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,catalogo_controlado,True,super semanal mensual
super semanal 2025,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,catalogo_controlado,True,super semanal 2025
super smanal,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,catalogo_controlado,True,super smanal
Comida rápida,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,transactions,False,comida rapida
cargo comida rápida,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,transactions,True,cargo comida rapida
comida rápida mensual,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,transactions,True,comida rapida mensual
comida rápida 2025,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,transactions,True,comida rapida 2025
cmida rápida,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,transactions,True,cmida rapida
comida corrida,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,catalogo_controlado,False,comida corrida
cargo comida corrida,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,catalogo_controlado,True,cargo comida corrida
comida corrida mensual,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,catalogo_controlado,True,comida corrida mensual
comida corrida 2025,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,catalogo_controlado,True,comida corrida 2025
comda corrida,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,catalogo_controlado,True,comda corrida
Comida para gato,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,transactions,False,comida para gato
cargo comida para gato,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,transactions,True,cargo comida para gato
comida para gato mensual,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,transactions,True,comida para gato mensual
comida para gato 2025,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,transactions,True,comida para gato 2025
comia para gato,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,transactions,True,comia para gato
despensa quincenal,despensa quincenal,Alimentación,Supermercado,train,cc529a2dbff3,catalogo_controlado,False,despensa quincenal
cargo despensa quincenal,despensa quincenal,Alimentación,Supermercado,train,cc529a2dbff3,catalogo_controlado,True,cargo despensa quincenal
despensa quincenal mensual,despensa quincenal,Alimentación,Supermercado,train,cc529a2dbff3,catalogo_controlado,True,despensa quincenal mensual
despensa quincenal 2025,despensa quincenal,Alimentación,Supermercado,train,cc529a2dbff3,catalogo_controlado,True,despensa quincenal 2025
despnsa quincenal,despensa quincenal,Alimentación,Supermercado,train,cc529a2dbff3,catalogo_controlado,True,despnsa quincenal
Compra en tienda,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,transactions,False,compra en tienda
comp en tienda,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,transactions,True,comp en tienda
cargo compra en tienda,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,transactions,True,cargo compra en tienda
compra en tienda mensual,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,transactions,True,compra en tienda mensual
compra en tienda 2025,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,transactions,True,compra en tienda 2025
Pizza,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,transactions,False,pizza
cargo pizza,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,transactions,True,cargo pizza
pizza mensual,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,transactions,True,pizza mensual
pizza 2025,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,transactions,True,pizza 2025
Compra de zapatos,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,transactions,False,compra de zapatos
comp de zapatos,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,transactions,True,comp de zapatos
cargo compra de zapatos,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,transactions,True,cargo compra de zapatos
compra de zapatos mensual,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,transactions,True,compra de zapatos mensual
compra de zapatos 2025,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,transactions,True,compra de zapatos 2025
Compra de Laptop,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,transactions,False,compra de laptop
comp de laptop,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,transactions,True,comp de laptop
cargo compra de laptop,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,transactions,True,cargo compra de laptop
compra de laptop mensual,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,transactions,True,compra de laptop mensual
compra de laptop 2025,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,transactions,True,compra de laptop 2025
Electrónica,Electrónica,Compras,Electrónica,train,315785b6f441,transactions,False,electronica
cargo electrónica,Electrónica,Compras,Electrónica,train,315785b6f441,transactions,True,cargo electronica
electrónica mensual,Electrónica,Compras,Electrónica,train,315785b6f441,transactions,True,electronica mensual
electrónica 2025,Electrónica,Compras,Electrónica,train,315785b6f441,transactions,True,electronica 2025
electrónia,Electrónica,Compras,Electrónica,train,315785b6f441,transactions,True,electronia
regalo de cumpleaños,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,catalogo_controlado,False,regalo de cumpleanos
cargo regalo de cumpleaños,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,catalogo_controlado,True,cargo regalo de cumpleanos
regalo de cumpleaños mensual,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,catalogo_controlado,True,regalo de cumpleanos mensual
regalo de cumpleaños 2025,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,catalogo_controlado,True,regalo de cumpleanos 2025
regalo de cumpeaños,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,catalogo_controlado,True,regalo de cumpeanos
accesorios personales,accesorios personales,Compras,Accesorios,train,432f9136abdb,catalogo_controlado,False,accesorios personales
cargo accesorios personales,accesorios personales,Compras,Accesorios,train,432f9136abdb,catalogo_controlado,True,cargo accesorios personales
accesorios personales mensual,accesorios personales,Compras,Accesorios,train,432f9136abdb,catalogo_controlado,True,accesorios personales mensual
accesorios personales 2025,accesorios personales,Compras,Accesorios,train,432f9136abdb,catalogo_controlado,True,accesorios personales 2025
accesorios peronales,accesorios personales,Compras,Accesorios,train,432f9136abdb,catalogo_controlado,True,accesorios peronales
Accesorios para mascotas,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,transactions,False,accesorios para mascotas
cargo accesorios para mascotas,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,transactions,True,cargo accesorios para mascotas
accesorios para mascotas mensual,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,transactions,True,accesorios para mascotas mensual
accesorios para mascotas 2025,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,transactions,True,accesorios para mascotas 2025
accesorios para mascots,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,transactions,True,accesorios para mascots
Compra de sueter,Compra de sueter,Compras,Ropa,train,5a777f461f16,transactions,False,compra de sueter
comp de sueter,Compra de sueter,Compras,Ropa,train,5a777f461f16,transactions,True,comp de sueter
cargo compra de sueter,Compra de sueter,Compras,Ropa,train,5a777f461f16,transactions,True,cargo compra de sueter
compra de sueter mensual,Compra de sueter,Compras,Ropa,train,5a777f461f16,transactions,True,compra de sueter mensual
compra de sueter 2025,Compra de sueter,Compras,Ropa,train,5a777f461f16,transactions,True,compra de sueter 2025
Regalo,Regalo,Compras,Regalos,train,5f7e8aba11fe,transactions,False,regalo
cargo regalo,Regalo,Compras,Regalos,train,5f7e8aba11fe,transactions,True,cargo regalo
regalo mensual,Regalo,Compras,Regalos,train,5f7e8aba11fe,transactions,True,regalo mensual
regalo 2025,Regalo,Compras,Regalos,train,5f7e8aba11fe,transactions,True,regalo 2025
rgalo,Regalo,Compras,Regalos,train,5f7e8aba11fe,transactions,True,rgalo
Compra de Tablet,Compra de Tablet,Compras,Electrónica,train,731ac2d6a4b8,transactions,False,compra de tablet
comp de tablet,Compra de Tablet,Compras,Electrónica,train,731ac2d6a4b8,transactions,True,comp de tablet
cargo compra de tablet,Compra de Tablet,Compras,Electrónica,train,731ac2d6a4b8,transactions,True,cargo compra de tablet
compra de tablet mensual,Compra de Tablet,Compras,Electrónica,train,731ac2d6a4b8,transactions,True,compra de tablet mensual
compra de tablet 2025,Compra de Tablet,Compras,Electrónica,train,731ac2d6a4b8,transactions,True,compra de tablet 2025
Compra de camisa,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,transactions,False,compra de camisa
comp de camisa,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,transactions,True,comp de camisa
cargo compra de camisa,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,transactions,True,cargo compra de camisa
compra de camisa mensual,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,transactions,True,compra de camisa mensual
compra de camisa 2025,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,transactions,True,compra de camisa 2025
Compra de tenis,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,transactions,False,compra de tenis
comp de tenis,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,transactions,True,comp de tenis
cargo compra de tenis,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,transactions,True,cargo compra de tenis
compra de tenis mensual,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,transactions,True,compra de tenis mensual
compra de tenis 2025,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,transactions,True,compra de tenis 2025
Compra de audífonos,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,transactions,False,compra de audifonos
comp de audífonos,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,transactions,True,comp de audifonos
cargo compra de audífonos,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,transactions,True,cargo compra de audifonos
compra de audífonos mensual,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,transactions,True,compra de audifonos mensual
compra de audífonos 2025,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,transactions,True,compra de audifonos 2025
zapatos nuevos,zapatos nuevos,Compras,Calzado,train,d04504e308c4,catalogo_controlado,False,zapatos nuevos
cargo zapatos nuevos,zapatos nuevos,Compras,Calzado,train,d04504e308c4,catalogo_controlado,True,cargo zapatos nuevos
zapatos nuevos mensual,zapatos nuevos,Compras,Calzado,train,d04504e308c4,catalogo_controlado,True,zapatos nuevos mensual
zapatos nuevos 2025,zapatos nuevos,Compras,Calzado,train,d04504e308c4,catalogo_controlado,True,zapatos nuevos 2025
zapatos nevos,zapatos nuevos,Compras,Calzado,train,d04504e308c4,catalogo_controlado,True,zapatos nevos
Compra de regalo,Compra de regalo,Compras,Regalos,train,d70c762a5caf,transactions,False,compra de regalo
comp de regalo,Compra de regalo,Compras,Regalos,train,d70c762a5caf,transactions,True,comp de regalo
cargo compra de regalo,Compra de regalo,Compras,Regalos,train,d70c762a5caf,transactions,True,cargo compra de regalo
compra de regalo mensual,Compra de regalo,Compras,Regalos,train,d70c762a5caf,transactions,True,compra de regalo mensual
compra de regalo 2025,Compra de regalo,Compras,Regalos,train,d70c762a5caf,transactions,True,compra de regalo 2025
Compra de teléfono,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,transactions,False,compra de telefono
comp de teléfono,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,transactions,True,comp de telefono
cargo compra de teléfono,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,transactions,True,cargo compra de telefono
compra de teléfono mensual,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,transactions,True,compra de telefono mensual
compra de teléfono 2025,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,transactions,True,compra de telefono 2025
Nuevo financiamiento,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,transactions,False,nuevo financiamiento
cargo nuevo financiamiento,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,transactions,True,cargo nuevo financiamiento
nuevo financiamiento mensual,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,transactions,True,nuevo financiamiento mensual
nuevo financiamiento 2025,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,transactions,True,nuevo financiamiento 2025
nuevo financiamieto,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,transactions,True,nuevo financiamieto
pago mensual de tarjeta,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,catalogo_controlado,False,pago mensual de tarjeta
pg mens de tdc,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,catalogo_controlado,True,pg mens de tdc
cargo pago mensual de tarjeta,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,catalogo_controlado,True,cargo pago mensual de tarjeta
pago mensual de tarjeta mensual,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,catalogo_controlado,True,pago mensual de tarjeta mensual
pago mensual de tarjeta 2025,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,catalogo_controlado,True,pago mensual de tarjeta 2025
Pago de tarjeta,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,transactions,False,pago de tarjeta
pg de tdc,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,transactions,True,pg de tdc
cargo pago de tarjeta,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,transactions,True,cargo pago de tarjeta
pago de tarjeta mensual,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,transactions,True,pago de tarjeta mensual
pago de tarjeta 2025,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,transactions,True,pago de tarjeta 2025
abono de deuda,abono de deuda,Deudas,Pago de préstamo,train,5a418a7718d8,catalogo_controlado,False,abono de deuda
cargo abono de deuda,abono de deuda,Deudas,Pago de préstamo,train,5a418a7718d8,catalogo_controlado,True,cargo abono de deuda
abono de deuda mensual,abono de deuda,Deudas,Pago de préstamo,train,5a418a7718d8,catalogo_controlado,True,abono de deuda mensual
abono de deuda 2025,abono de deuda,Deudas,Pago de préstamo,train,5a418a7718d8,catalogo_controlado,True,abono de deuda 2025
Abono a tarjeta,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,transactions,False,abono a tarjeta
abono a tdc,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,transactions,True,abono a tdc
cargo abono a tarjeta,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,transactions,True,cargo abono a tarjeta
abono a tarjeta mensual,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,transactions,True,abono a tarjeta mensual
abono a tarjeta 2025,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,transactions,True,abono a tarjeta 2025
Disposición de crédito,Disposición de crédito,Deudas,Nuevo crédito,train,71e3de0ff541,transactions,False,disposicion de credito
disposición de cred,Disposición de crédito,Deudas,Nuevo crédito,train,71e3de0ff541,transactions,True,disposicion de cred
cargo disposición de crédito,Disposición de crédito,Deudas,Nuevo crédito,train,71e3de0ff541,transactions,True,cargo disposicion de credito
disposición de crédito mensual,Disposición de crédito,Deudas,Nuevo crédito,train,71e3de0ff541,transactions,True,disposicion de credito mensual
disposición de crédito 2025,Disposición de crédito,Deudas,Nuevo crédito,train,71e3de0ff541,transactions,True,disposicion de credito 2025
mensualidad del préstamo,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,catalogo_controlado,False,mensualidad del prestamo
mensualidad del prest,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,catalogo_controlado,True,mensualidad del prest
cargo mensualidad del préstamo,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,catalogo_controlado,True,cargo mensualidad del prestamo
mensualidad del préstamo mensual,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,catalogo_controlado,True,mensualidad del prestamo mensual
mensualidad del préstamo 2025,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,catalogo_controlado,True,mensualidad del prestamo 2025
