user_id,edad,sexo,ocupacion,situacion_vida,ciudad,ingreso_base,ingreso_variable,ingreso_total_estimado,meta_ahorro,frecuencia_ahorro,ratio_deuda_inicial,saldo_deuda_inicial,arquetipo_comportamiento
USR_00050,38,O,Dentista,Vive con pareja,Zacatecas,15963.43,1301.34,17264.77,15.39,Alta,0.5081,8772.23,Equilibrado
USR_00051,24,O,Estudiante,Vive solo,Xalapa,6338.86,597.59,6936.45,14.75,Media,0.346,2400.01,Endeudado
USR_00052,54,F,Contador,Vive solo,Mérida,15949.59,695.14,16644.73,13.4,Baja,0.489,8139.27,Endeudado
USR_00053,64,F,Dentista,Vive con pareja,Chihuahua,23011.85,4174.02,27185.87,21.57,Alta,0.4035,10969.5,Ahorrador
USR_00054,41,F,Arquitecto,Vive con pareja,Durango,20686.56,875.7,21562.26,24.03,Media,0.203,4377.14,Financieramente_Inestable
USR_00055,53,M,Ingeniero,Vive con familia,Hermosillo,15678.42,845.72,16524.14,13.75,Baja,0.0877,1449.17,Financieramente_Inestable
USR_00056,21,F,Estudiante,Vive con familia,San Luis Potosí,4395.52,8.96,4404.48,8.16,Baja,0.1129,497.27,Financieramente_Inestable
USR_00057,43,M,Programador,Vive con familia,Mérida,26711.57,3244.11,29955.68,7.86,Alta,0.5806,17392.27,Ahorrador
USR_00058,46,F,Analista de Datos,Vive solo,Tlaxcala,30692.94,2194.59,32887.53,22.27,Baja,0.1836,6038.15,Gastador
USR_00059,64,F,Médico,Vive con pareja,Ciudad Victoria,50218.59,3487.22,53705.81,14.26,Baja,0.4061,21809.93,Ahorrador
USR_00060,31,O,Emprendedor,Vive con familia,Durango,60519.96,15343.72,75863.68,16.49,Alta,0.2895,21962.54,Endeudado
USR_00061,60,F,Ejecutivo,Vive con pareja,Colima,96487.38,15934.59,112421.97,13.06,Alta,0.5069,56986.7,Ahorrador
USR_00062,61,F,Comerciante,Vive solo,Chilpancingo,53502.56,10138.45,63641.01,26.27,Alta,0.3182,20250.57,Equilibrado
USR_00063,37,O,Programador,Vive solo,Cuernavaca,42231.64,4363.6,46595.24,11.03,Media,0.3187,14849.9,Endeudado
USR_00064,53,O,Emprendedor,Vive solo,Tepic,98257.95,6400.26,104658.21,22.29,Media,0.4152,43454.09,Equilibrado
USR_00065,49,M,Enfermero,Vive con pareja,Chilpancingo,39915.79,2196.92,42112.71,16.34,Media,0.1883,7929.82,Ahorrador
USR_00066,62,O,Médico,Vive solo,Puebla,57789.49,7976.84,65766.33,23.47,Media,0.4485,29496.2,Financieramente_Inestable
USR_00067,28,M,Analista de Datos,Vive con pareja,Monterrey,44644.11,1322.57,45966.68,12.56,Baja,0.3438,15803.34,Equilibrado
USR_00068,30,M,Analista de Datos,Vive solo,Zacatecas,38411.83,2891.61,41303.44,5.31,Media,0.3082,12729.72,Equilibrado
USR_00069,41,M,Arquitecto,Vive con familia,Tuxtla Gutiérrez,29115.95,2781.91,31897.86,15.02,Alta,0.3674,11719.27,Gastador
USR_00070,69,O,Jubilado,Vive con pareja,Guadalajara,12555.43,155.81,12711.24,15.4,Baja,0.4849,6163.68,Equilibrado
USR_00071,53,M,Comerciante,Vive con pareja,Querétaro,32220.01,9481.14,41701.15,19.22,Alta,0.3853,16067.45,Endeudado
USR_00072,39,F,Profesor,Vive solo,Guanajuato,27189.85,427.04,27616.89,6.88,Alta,0.2747,7586.36,Gastador
USR_00073,39,O,Arquitecto,Vive con familia,Oaxaca,19321.57,1092.51,20414.08,6.78,Alta,0.5582,11395.14,Endeudado
USR_00074,50,F,Profesor,Vive solo,Puebla,14639.85,329.12,14968.97,11.64,Alta,0.0893,1336.73,Ahorrador
USR_00075,69,M,Jubilado,Vive con pareja,Puebla,23174.6,543.09,23717.69,15.06,Media,0.3253,7715.36,Equilibrado
USR_00076,52,M,Arquitecto,Vive solo,Hermosillo,26018.01,3141.49,29159.5,10.72,Baja,0.5098,14865.51,Gastador
USR_00077,22,O,Programador,Vive con familia,Ciudad Victoria,50524.36,1770.28,52294.64,16.06,Media,0.1498,7833.74,Gastador
USR_00078,30,F,Emprendedor,Vive con pareja,Chetumal,64351.09,18394.35,82745.44,7.61,Alta,0.2314,19147.29,Gastador
USR_00079,55,M,Chef,Vive solo,Chetumal,13761.46,363.55,14125.01,7.9,Media,0.5257,7425.52,Endeudado
USR_00080,59,F,Ejecutivo,Vive con pareja,Monterrey,91324.76,3426.19,94750.95,23.91,Baja,0.2931,27771.5,Ahorrador
USR_00081,43,F,Dentista,Vive solo,Monterrey,21571.74,3012.49,24584.23,29.33,Baja,0.4896,12036.44,Endeudado
USR_00082,24,O,Estudiante,Comparte vivienda,Guanajuato,3652.46,362.42,4014.88,16.54,Alta,0.4062,1630.84,Ahorrador
USR_00083,37,O,Freelancer,Vive con pareja,Culiacán,34929.42,10112.06,45041.48,16.42,Alta,0.261,11755.83,Financieramente_Inestable
USR_00084,29,O,Dentista,Vive con pareja,Guanajuato,19143.71,3024.73,22168.44,28.36,Baja,0.1969,4364.97,Ahorrador
USR_00085,78,F,Jubilado,Vive solo,Morelia,39967.07,978.47,40945.54,18.46,Media,0.2328,9532.12,Endeudado
USR_00086,32,O,Diseñador,Vive con pareja,Mérida,34557.82,2475.78,37033.6,26.4,Media,0.074,2740.49,Endeudado
USR_00087,44,F,Chef,Vive con familia,Tlaxcala,59443.87,14130.88,73574.75,8.8,Alta,0.1194,8784.83,Financieramente_Inestable
USR_00088,56,F,Médico,Vive solo,Chilpancingo,19487.03,3548.36,23035.39,8.6,Baja,0.5835,13441.15,Ahorrador
USR_00089,25,F,Chef,Comparte vivienda,Tlaxcala,52884.73,13522.75,66407.48,14.5,Media,0.3947,26211.03,Financieramente_Inestable
USR_00090,32,M,Ejecutivo,Vive con familia,Hermosillo,111745.95,5246.92,116992.87,12.18,Alta,0.4607,53898.62,Equilibrado
USR_00091,56,M,Médico,Vive solo,Colima,22486.42,1346.78,23833.2,13.11,Alta,0.2114,5038.34,Equilibrado
USR_00092,46,O,Freelancer,Vive solo,Tuxtla Gutiérrez,43955.68,20901.44,64857.12,6.97,Media,0.3908,25346.16,Equilibrado
USR_00093,52,M,Contador,Vive con pareja,La Paz,23482.28,1079.18,24561.46,27.47,Media,0.5457,13403.19,Gastador
USR_00094,47,F,Comerciante,Vive con familia,Tlaxcala,79160.32,11840.57,91000.89,22.26,Media,0.5149,46856.36,Ahorrador
USR_00095,31,F,Emprendedor,Vive con pareja,Durango,39906.6,15976.44,55883.04,29.82,Media,0.0621,3470.34,Endeudado
USR_00096,18,O,Estudiante,Comparte vivienda,Saltillo,9374.32,698.55,10072.87,27.57,Alta,0.3839,3866.97,Equilibrado
USR_00097,28,M,Programador,Vive con familia,La Paz,45129.92,8154.11,53284.03,12.72,Media,0.0684,3644.63,Equilibrado
USR_00098,42,M,Analista de Datos,Vive solo,Durango,41919.39,736.27,42655.66,18.49,Media,0.342,14588.24,Financieramente_Inestable
USR_00099,43,O,Emprendedor,Vive solo,Culiacán,93388.73,22142.53,115531.26,29.07,Alta,0.4648,53698.93,Equilibrado
USR_00100,55,F,Chef,Vive solo,Oaxaca,29557.2,7011.1,36568.3,18.41,Media,0.2527,9240.81,Endeudado
USR_00101,60,O,Chef,Vive solo,La Paz,57134.01,1857.07,58991.08,5.63,Baja,0.2304,13591.54,Gastador
USR_00102,69,M,Comerciante,Vive solo,Xalapa,32548.93,6644.8,39193.73,28.66,Media,0.5978,23430.01,Ahorrador
USR_00103,38,M,Ejecutivo,Vive con familia,Xalapa,88864.58,6593.96,95458.54,22.41,Baja,0.2805,26776.12,Endeudado
USR_00104,31,M,Veterinario,Vive con familia,Tlaxcala,60354.2,7431.44,67785.64,11.99,Baja,0.2538,17204.0,Equilibrado
USR_00105,28,M,Enfermero,Comparte vivienda,Zacatecas,39523.19,1451.82,40975.01,21.12,Alta,0.269,11022.28,Ahorrador
USR_00106,30,O,Comerciante,Vive con familia,Saltillo,57068.27,18310.48,75378.75,5.53,Media,0.184,13869.69,Ahorrador
USR_00107,58,F,Ingeniero,Vive con familia,Tlaxcala,22250.51,480.5,22731.01,13.21,Alta,0.4838,10997.26,Gastador
USR_00108,33,M,Dentista,Vive solo,Oaxaca,23103.23,3689.65,26792.88,26.66,Alta,0.0582,1559.35,Endeudado
USR_00109,21,F,Diseñador,Vive solo,Tepic,16007.66,251.64,16259.3,18.15,Baja,0.085,1382.04,Equilibrado
USR_00110,63,M,Jubilado,Vive con pareja,Mexicali,23560.16,260.99,23821.15,23.18,Baja,0.3368,8022.96,Equilibrado
USR_00111,50,M,Emprendedor,Vive con familia,Durango,59758.73,4516.16,64274.89,16.09,Alta,0.2272,14603.26,Ahorrador
USR_00112,77,O,Jubilado,Vive con pareja,Campeche,31364.58,597.35,31961.93,12.37,Baja,0.383,12241.42,Ahorrador
USR_00113,43,F,Ejecutivo,Vive con pareja,Chilpancingo,93006.99,16519.73,109526.72,25.69,Media,0.2788,30536.05,Ahorrador
USR_00114,43,O,Programador,Vive con pareja,Pachuca,58143.7,7986.86,66130.56,7.28,Alta,0.1013,6699.03,Ahorrador
USR_00115,60,F,Dentista,Vive con pareja,Tlaxcala,15899.71,3042.01,18941.72,21.75,Media,0.2445,4631.25,Gastador
USR_00116,43,F,Arquitecto,Vive con pareja,Tlaxcala,24006.15,1688.33,25694.48,10.32,Baja,0.3152,8098.9,Endeudado
USR_00117,53,O,Ejecutivo,Vive solo,Chetumal,61488.53,3425.75,64914.28,15.73,Baja,0.586,38039.77,Endeudado
USR_00118,31,F,Ejecutivo,Vive con familia,Pachuca,110899.49,14590.63,125490.12,5.72,Media,0.4365,54776.44,Equilibrado
USR_00119,20,O,Estudiante,Vive con familia,Saltillo,9089.04,514.73,9603.77,8.55,Baja,0.5845,5613.4,Ahorrador
USR_00120,46,M,Chef,Vive con pareja,Chihuahua,33775.0,1594.95,35369.95,13.11,Baja,0.3779,13366.3,Financieramente_Inestable
USR_00121,30,F,Arquitecto,Vive con pareja,Toluca,19081.54,2526.16,21607.7,16.05,Media,0.1686,3643.06,Gastador
USR_00122,46,M,Médico,Vive con pareja,Saltillo,45519.81,5399.87,50919.68,12.71,Alta,0.2674,13615.92,Gastador
USR_00123,35,F,Analista de Datos,Vive con pareja,Monterrey,42555.18,3251.9,45807.08,8.0,Media,0.4609,21112.48,Ahorrador
USR_00124,55,M,Contador,Vive con pareja,Tlaxcala,22057.02,1473.52,23530.54,14.93,Baja,0.0733,1724.79,Ahorrador
USR_00125,47,O,Diseñador,Vive con pareja,Morelia,25188.19,5361.3,30549.49,7.88,Alta,0.5814,17761.47,Ahorrador
USR_00126,27,F,Enfermero,Vive con pareja,Colima,25917.79,274.37,26192.16,15.01,Alta,0.2677,7011.64,Equilibrado
USR_00127,30,O,Diseñador,Vive con pareja,Ciudad Victoria,13756.73,2613.33,16370.06,9.85,Media,0.2431,3979.56,Financieramente_Inestable
USR_00128,40,O,Dentista,Vive solo,Cuernavaca,16542.07,846.85,17388.92,8.82,Baja,0.0914,1589.35,Financieramente_Inestable
USR_00129,61,O,Comerciante,Vive con familia,Chilpancingo,63671.65,14291.27,77962.92,19.11,Baja,0.5926,46200.83,Equilibrado
USR_00130,53,F,Dentista,Vive con pareja,Morelia,16024.29,1417.21,17441.5,11.87,Alta,0.2436,4248.75,Ahorrador
USR_00131,28,F,Arquitecto,Vive con familia,Oaxaca,20531.06,1178.8,21709.86,29.43,Alta,0.3883,8429.94,Gastador
USR_00132,32,F,Ejecutivo,Vive con familia,Campeche,94973.37,15382.19,110355.56,13.04,Media,0.3258,35953.84,Financieramente_Inestable
USR_00133,25,F,Diseñador,Vive solo,Pachuca,23604.63,1221.96,24826.59,15.94,Media,0.3382,8396.35,Gastador
USR_00134,46,O,Analista de Datos,Vive con pareja,Chetumal,31080.62,1051.67,32132.29,24.73,Baja,0.2341,7522.17,Equilibrado
USR_00135,38,M,Chef,Vive con familia,Mérida,24095.8,6155.75,30251.55,20.07,Alta,0.2333,7057.69,Gastador
USR_00136,41,F,Enfermero,Vive con pareja,Ciudad Victoria,39192.41,2737.51,41929.92,19.88,Alta,0.2203,9237.16,Equilibrado
USR_00137,58,F,Dentista,Vive con pareja,Saltillo,16401.79,2199.34,18601.13,5.46,Media,0.1491,2773.43,Equilibrado
USR_00138,31,M,Contador,Vive con familia,Chetumal,14789.01,437.45,15226.46,17.69,Baja,0.5093,7754.84,Financieramente_Inestable
USR_00139,28,F,Diseñador,Vive solo,Mexicali,25736.67,1190.99,26927.66,22.32,Baja,0.495,13329.19,Ahorrador
USR_00140,48,M,Veterinario,Vive con pareja,Guanajuato,51229.05,2433.69,53662.74,12.12,Baja,0.4811,25817.14,Equilibrado
USR_00141,37,F,Emprendedor,Vive con familia,Zacatecas,53623.3,35551.77,89175.07,16.54,Media,0.478,42625.68,Gastador
USR_00142,37,O,Abogado,Vive con pareja,Tlaxcala,27018.89,747.87,27766.76,21.03,Media,0.355,9857.2,Ahorrador
USR_00143,46,F,Médico,Vive con pareja,Xalapa,18774.38,601.95,19376.33,17.83,Media,0.1004,1945.38,Financieramente_Inestable
USR_00144,23,M,Enfermero,Vive con pareja,Ciudad Victoria,25372.42,1005.9,26378.32,14.65,Alta,0.2562,6758.13,Ahorrador
USR_00145,29,O,Diseñador,Comparte vivienda,Aguascalientes,15164.79,1305.14,16469.93,22.4,Alta,0.4674,7698.05,Equilibrado
USR_00146,24,M,Ingeniero,Vive con pareja,Guanajuato,23957.34,2000.35,25957.69,23.18,Baja,0.2828,7340.83,Endeudado
USR_00147,31,O,Médico,Vive con familia,Oaxaca,25729.78,3288.02,29017.8,6.57,Media,0.3782,10974.53,Ahorrador
USR_00148,32,F,Contador,Vive con pareja,La Paz,17242.9,2.7,17245.6,19.27,Alta,0.4154,7163.82,Ahorrador
USR_00149,54,F,Freelancer,Vive con pareja,Durango,40439.66,23980.67,64420.33,14.76,Media,0.0739,4760.66,Equilibrado
USR_00150,23,M,Estudiante,Vive con familia,Pachuca,8519.64,293.76,8813.4,20.71,Baja,0.4544,4004.81,Equilibrado
USR_00151,51,M,Ejecutivo,Vive con pareja,La Paz,131350.89,4599.62,135950.51,16.62,Baja,0.3132,42579.7,Ahorrador
USR_00152,27,O,Comerciante,Vive solo,Cuernavaca,31954.09,699.89,32653.98,6.05,Media,0.3335,10890.1,Financieramente_Inestable
USR_00153,22,F,Programador,Vive con familia,Toluca,50131.64,1916.07,52047.71,24.52,Baja,0.2326,12106.3,Ahorrador
USR_00154,48,F,Chef,Vive con familia,Villahermosa,54942.6,6372.98,61315.58,17.41,Media,0.252,15451.53,Endeudado
USR_00155,50,F,Ingeniero,Vive con familia,Guanajuato,17762.45,1070.1,18832.55,18.64,Media,0.1064,2003.78,Equilibrado
USR_00156,63,F,Comerciante,Vive con pareja,Durango,60801.08,5066.09,65867.17,16.18,Baja,0.5285,34810.8,Equilibrado
USR_00157,29,O,Arquitecto,Vive con pareja,Chetumal,25067.76,2036.56,27104.32,23.75,Alta,0.574,15557.88,Ahorrador
USR_00158,27,F,Comerciante,Vive con familia,Zacatecas,20583.64,2428.82,23012.46,14.05,Baja,0.0678,1560.24,Ahorrador
USR_00159,45,M,Enfermero,Vive solo,Aguascalientes,26098.48,200.66,26299.14,14.17,Media,0.4073,10711.64,Equilibrado
USR_00160,56,F,Abogado,Vive solo,San Luis Potosí,22766.18,4159.57,26925.75,24.37,Baja,0.2955,7956.56,Financieramente_Inestable
USR_00161,37,F,Emprendedor,Vive con pareja,Chetumal,27876.93,16641.93,44518.86,27.47,Media,0.5985,26644.54,Endeudado
USR_00162,26,F,Enfermero,Vive solo,Tepic,28749.93,834.79,29584.72,8.94,Baja,0.56,16567.44,Gastador
USR_00163,30,O,Contador,Vive solo,Tuxtla Gutiérrez,29732.39,2355.0,32087.39,17.35,Media,0.3547,11381.4,Equilibrado
USR_00164,27,F,Ingeniero,Vive con familia,Querétaro,25825.18,2581.47,28406.65,18.14,Media,0.5028,14282.86,Ahorrador
USR_00165,51,M,Ingeniero,Vive solo,Toluca,31304.16,1619.55,32923.71,25.73,Baja,0.4019,13232.04,Ahorrador
USR_00166,23,O,Freelancer,Vive con pareja,Xalapa,59883.45,18615.45,78498.9,9.05,Baja,0.174,13658.81,Financieramente_Inestable
USR_00167,27,O,Analista de Datos,Vive con familia,Chihuahua,26019.37,1652.38,27671.75,8.13,Media,0.3879,10733.87,Ahorrador
USR_00168,78,M,Jubilado,Vive con pareja,Mexicali,14625.83,481.73,15107.56,20.13,Baja,0.0727,1098.32,Financieramente_Inestable
USR_00169,68,O,Jubilado,Vive con pareja,Zacatecas,29533.9,1132.56,30666.46,20.97,Media,0.5389,16526.16,Gastador
USR_00170,52,F,Analista de Datos,Vive con pareja,Morelia,25836.09,2085.87,27921.96,16.34,Baja,0.083,2317.52,Equilibrado
USR_00171,44,F,Profesor,Vive con familia,Tepic,25953.19,811.25,26764.44,23.35,Media,0.5865,15697.34,Ahorrador
USR_00172,36,O,Ejecutivo,Vive con pareja,Toluca,81911.59,7641.9,89553.49,11.2,Alta,0.0778,6967.26,Financieramente_Inestable
USR_00173,33,F,Contador,Vive con familia,Xalapa,26642.6,2487.76,29130.36,9.75,Alta,0.324,9438.24,Gastador
USR_00174,53,F,Analista de Datos,Vive con pareja,Cuernavaca,18741.64,1771.52,20513.16,29.17,Alta,0.3708,7606.28,Ahorrador
USR_00175,43,M,Emprendedor,Vive con pareja,Guadalajara,71352.53,42313.52,113666.05,27.06,Baja,0.2512,28552.91,Equilibrado
USR_00176,60,O,Arquitecto,Vive solo,Puebla,17919.83,1982.73,19902.56,17.61,Baja,0.2038,4056.14,Financieramente_Inestable
USR_00177,36,O,Médico,Vive con familia,Guadalajara,58878.73,4638.51,63517.24,13.48,Media,0.4652,29548.22,Ahorrador
USR_00178,22,M,Freelancer,Vive con familia,Chilpancingo,12718.2,1045.71,13763.91,16.84,Media,0.1319,1815.46,Financieramente_Inestable
USR_00179,30,O,Diseñador,Comparte vivienda,Oaxaca,21037.96,3890.97,24928.93,19.84,Baja,0.5056,12604.07,Gastador
USR_00180,52,O,Analista de Datos,Vive con pareja,Querétaro,44103.96,1624.6,45728.56,29.5,Baja,0.2192,10023.7,Financieramente_Inestable
USR_00181,25,M,Estudiante,Comparte vivienda,Tepic,4858.71,318.53,5177.24,19.46,Alta,0.4468,2313.19,Gastador
USR_00182,29,M,Chef,Vive con familia,Toluca,51439.74,3737.56,55177.3,22.51,Alta,0.0604,3332.71,Equilibrado
USR_00183,49,M,Profesor,Vive con pareja,Monterrey,23541.85,1439.53,24981.38,26.21,Baja,0.0843,2105.93,Ahorrador
USR_00184,50,O,Diseñador,Vive solo,Chetumal,24085.97,2267.11,26353.08,27.8,Media,0.3505,9236.75,Gastador
USR_00185,50,O,Programador,Vive con pareja,San Luis Potosí,27690.57,1365.25,29055.82,10.62,Media,0.4741,13775.36,Endeudado
USR_00186,45,F,Emprendedor,Vive con familia,Xalapa,65379.36,25651.02,91030.38,23.04,Media,0.117,10650.55,Gastador
USR_00187,42,O,Chef,Vive con pareja,Durango,57821.23,13957.16,71778.39,12.19,Baja,0.0935,6711.28,Financieramente_Inestable
USR_00188,38,M,Emprendedor,Vive con familia,Colima,36217.14,13654.03,49871.17,22.4,Alta,0.1101,5490.82,Endeudado
USR_00189,58,M,Arquitecto,Vive solo,Zacatecas,18385.07,856.14,19241.21,13.26,Media,0.1053,2026.1,Endeudado
USR_00190,40,F,Ejecutivo,Vive con familia,Querétaro,90690.75,16959.75,107650.5,16.94,Alta,0.4658,50143.6,Equilibrado
USR_00191,30,M,Arquitecto,Vive con familia,Mérida,24784.48,1151.09,25935.57,26.26,Alta,0.5523,14324.22,Ahorrador
USR_00192,50,O,Arquitecto,Vive con familia,Puebla,26819.41,999.35,27818.76,26.81,Media,0.5322,14805.14,Ahorrador
USR_00193,49,M,Médico,Vive con pareja,Villahermosa,27805.27,5500.44,33305.71,17.35,Alta,0.5181,17255.69,Equilibrado
USR_00194,49,O,Médico,Vive con pareja,Hermosillo,22312.24,2047.88,24360.12,9.65,Baja,0.2354,5734.37,Equilibrado
USR_00195,34,M,Profesor,Vive con pareja,Tuxtla Gutiérrez,26051.95,1664.01,27715.96,15.69,Media,0.0977,2707.85,Gastador
USR_00196,45,O,Emprendedor,Vive con pareja,Oaxaca,113261.67,541.51,113803.18,16.17,Media,0.5747,65402.69,Equilibrado
USR_00197,22,O,Estudiante,Vive con familia,Hermosillo,7575.78,524.83,8100.61,7.96,Media,0.1378,1116.26,Gastador
USR_00198,29,O,Analista de Datos,Vive con pareja,Pachuca,38438.76,3615.69,42054.45,10.52,Alta,0.313,13163.04,Equilibrado
USR_00199,60,M,Veterinario,Vive con familia,Tepic,64942.22,9836.8,74779.02,25.64,Alta,0.4242,31721.26,Gastador
