descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,texto_normalizado,es_aumentada
cargo compra de alimentos,Compra de alimentos,Alimentación,Supermercado,train,548820314234,cargo compra de alimentos,True
compra de alimentos mensual,Compra de alimentos,Alimentación,Supermercado,train,548820314234,compra de alimentos mensual,True
Comida en restaurante,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,comida en restaurante,False
comida en rest,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,comida en rest,True
cargo comida en restaurante,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,cargo comida en restaurante,True
comida en restaurante mensual,Comida en restaurante,Alimentación,Restaurante,train,6491a53df90d,comida en restaurante mensual,True
Alimento para mascotas,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,alimento para mascotas,False
cargo alimento para mascotas,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,cargo alimento para mascotas,True
alimento para mascotas mensual,Alimento para mascotas,Alimentación,Alimento para mascotas,train,7ef08f3229a2,alimento para mascotas mensual,True
Supermercado,Supermercado,Alimentación,Supermercado,train,89da14787efb,supermercado,False
super,Supermercado,Alimentación,Supermercado,train,89da14787efb,super,True
cargo supermercado,Supermercado,Alimentación,Supermercado,train,89da14787efb,cargo supermercado,True
supermercado mensual,Supermercado,Alimentación,Supermercado,train,89da14787efb,supermercado mensual,True
Almuerzo fuera de casa,Almuerzo fuera de casa,Alimentación,Restaurante,test,8ea97f3926e1,almuerzo fuera de casa,False
Restaurante,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,restaurante,False
rest,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,rest,True
cargo restaurante,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,cargo restaurante,True
restaurante mensual,Restaurante,Alimentación,Restaurante,train,901ba6df6f62,restaurante mensual,True
super semanal,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,super semanal,False
cargo super semanal,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,cargo super semanal,True
super semanal mensual,super semanal,Alimentación,Supermercado,train,9228ae3fb24d,super semanal mensual,True
Comida rápida,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,comida rapida,False
cargo comida rápida,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,cargo comida rapida,True
comida rápida mensual,Comida rápida,Alimentación,Comida rápida,train,9f29ca7ff6a1,comida rapida mensual,True
comida corrida,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,comida corrida,False
cargo comida corrida,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,cargo comida corrida,True
comida corrida mensual,comida corrida,Alimentación,Restaurante,train,b1f6bbfcc6ce,comida corrida mensual,True
Comida para gato,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,comida para gato,False
cargo comida para gato,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,cargo comida para gato,True
comida para gato mensual,Comida para gato,Alimentación,Alimento para mascotas,train,cac83f657d9d,comida para gato mensual,True
despensa quincenal,despensa quincenal,Alimentación,Supermercado,test,cc529a2dbff3,despensa quincenal,False
Compra en tienda,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,compra en tienda,False
comp en tienda,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,comp en tienda,True
cargo compra en tienda,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,cargo compra en tienda,True
compra en tienda mensual,Compra en tienda,Alimentación,Tiendas,train,e3b123ef33f5,compra en tienda mensual,True
Pizza,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,pizza,False
cargo pizza,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,cargo pizza,True
pizza mensual,Pizza,Alimentación,Comida rápida,train,fb6d4de9e81e,pizza mensual,True
Compra de zapatos,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,compra de zapatos,False
comp de zapatos,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,comp de zapatos,True
cargo compra de zapatos,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,cargo compra de zapatos,True
compra de zapatos mensual,Compra de zapatos,Compras,Calzado,train,16c04c349e3f,compra de zapatos mensual,True
Compra de Laptop,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,compra de laptop,False
comp de laptop,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,comp de laptop,True
cargo compra de laptop,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,cargo compra de laptop,True
compra de laptop mensual,Compra de Laptop,Compras,Electrónica,train,22f170405e7f,compra de laptop mensual,True
Electrónica,Electrónica,Compras,Electrónica,train,315785b6f441,electronica,False
cargo electrónica,Electrónica,Compras,Electrónica,train,315785b6f441,cargo electronica,True
electrónica mensual,Electrónica,Compras,Electrónica,train,315785b6f441,electronica mensual,True
regalo de cumpleaños,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,regalo de cumpleanos,False
cargo regalo de cumpleaños,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,cargo regalo de cumpleanos,True
regalo de cumpleaños mensual,regalo de cumpleaños,Compras,Regalos,train,3f90d5167618,regalo de cumpleanos mensual,True
accesorios personales,accesorios personales,Compras,Accesorios,train,432f9136abdb,accesorios personales,False
cargo accesorios personales,accesorios personales,Compras,Accesorios,train,432f9136abdb,cargo accesorios personales,True
accesorios personales mensual,accesorios personales,Compras,Accesorios,train,432f9136abdb,accesorios personales mensual,True
Accesorios para mascotas,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,accesorios para mascotas,False
cargo accesorios para mascotas,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,cargo accesorios para mascotas,True
accesorios para mascotas mensual,Accesorios para mascotas,Compras,Mascotas,train,51c7731bd03f,accesorios para mascotas mensual,True
Compra de sueter,Compra de sueter,Compras,Ropa,train,5a777f461f16,compra de sueter,False
comp de sueter,Compra de sueter,Compras,Ropa,train,5a777f461f16,comp de sueter,True
cargo compra de sueter,Compra de sueter,Compras,Ropa,train,5a777f461f16,cargo compra de sueter,True
compra de sueter mensual,Compra de sueter,Compras,Ropa,train,5a777f461f16,compra de sueter mensual,True
Regalo,Regalo,Compras,Regalos,test,5f7e8aba11fe,regalo,False
Compra de Tablet,Compra de Tablet,Compras,Electrónica,test,731ac2d6a4b8,compra de tablet,False
Compra de camisa,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,compra de camisa,False
comp de camisa,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,comp de camisa,True
cargo compra de camisa,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,cargo compra de camisa,True
compra de camisa mensual,Compra de camisa,Compras,Ropa,train,87d0bcb8d5f8,compra de camisa mensual,True
Compra de tenis,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,compra de tenis,False
comp de tenis,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,comp de tenis,True
cargo compra de tenis,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,cargo compra de tenis,True
compra de tenis mensual,Compra de tenis,Compras,Calzado,train,8b8ae4da9032,compra de tenis mensual,True
Compra de audífonos,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,compra de audifonos,False
comp de audífonos,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,comp de audifonos,True
cargo compra de audífonos,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,cargo compra de audifonos,True
compra de audífonos mensual,Compra de audífonos,Compras,Electrónica,train,c570e97c4229,compra de audifonos mensual,True
zapatos nuevos,zapatos nuevos,Compras,Calzado,train,d04504e308c4,zapatos nuevos,False
cargo zapatos nuevos,zapatos nuevos,Compras,Calzado,train,d04504e308c4,cargo zapatos nuevos,True
zapatos nuevos mensual,zapatos nuevos,Compras,Calzado,train,d04504e308c4,zapatos nuevos mensual,True
Compra de regalo,Compra de regalo,Compras,Regalos,train,d70c762a5caf,compra de regalo,False
comp de regalo,Compra de regalo,Compras,Regalos,train,d70c762a5caf,comp de regalo,True
cargo compra de regalo,Compra de regalo,Compras,Regalos,train,d70c762a5caf,cargo compra de regalo,True
compra de regalo mensual,Compra de regalo,Compras,Regalos,train,d70c762a5caf,compra de regalo mensual,True
Compra de teléfono,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,compra de telefono,False
comp de teléfono,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,comp de telefono,True
cargo compra de teléfono,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,cargo compra de telefono,True
compra de teléfono mensual,Compra de teléfono,Compras,Electrónica,train,df24d7e9f583,compra de telefono mensual,True
Nuevo financiamiento,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,nuevo financiamiento,False
cargo nuevo financiamiento,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,cargo nuevo financiamiento,True
nuevo financiamiento mensual,Nuevo financiamiento,Deudas,Nuevo crédito,train,1b69777bf2a4,nuevo financiamiento mensual,True
pago mensual de tarjeta,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,pago mensual de tarjeta,False
pg mens de tdc,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,pg mens de tdc,True
cargo pago mensual de tarjeta,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,cargo pago mensual de tarjeta,True
pago mensual de tarjeta mensual,pago mensual de tarjeta,Deudas,Pago de tarjeta,train,3f6a48a872e9,pago mensual de tarjeta mensual,True
Pago de tarjeta,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,pago de tarjeta,False
pg de tdc,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,pg de tdc,True
cargo pago de tarjeta,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,cargo pago de tarjeta,True
pago de tarjeta mensual,Pago de tarjeta,Deudas,Pago de tarjeta,train,426bd1fdf515,pago de tarjeta mensual,True
abono de deuda,abono de deuda,Deudas,Pago de préstamo,validation,5a418a7718d8,abono de deuda,False
Abono a tarjeta,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,abono a tarjeta,False
cargo abono a tarjeta,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,cargo abono a tarjeta,True
abono a tarjeta mensual,Abono a tarjeta,Deudas,Pago de tarjeta,train,5bb69475f32a,abono a tarjeta mensual,True
Disposición de crédito,Disposición de crédito,Deudas,Nuevo crédito,test,71e3de0ff541,disposicion de credito,False
mensualidad del préstamo,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,mensualidad del prestamo,False
mens del prest,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,mens del prest,True
cargo mensualidad del préstamo,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,cargo mensualidad del prestamo,True
mensualidad del préstamo mensual,mensualidad del préstamo,Deudas,Pago de préstamo,train,9dfba16572ba,mensualidad del prestamo mensual,True
pago de impuestos,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,pago de impuestos,False
pg de impuestos,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,pg de impuestos,True
cargo pago de impuestos,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,cargo pago de impuestos,True
pago de impuestos mensual,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,pago de impuestos mensual,True
pago de crédito,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,pago de credito,False
pg de cred,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,pg de cred,True
cargo pago de crédito,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,cargo pago de credito,True
pago de crédito mensual,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,pago de credito mensual,True
abono a crédito coche,abono a crédito coche,Deudas,Pago de préstamo,test,f5a4934a3c20,abono a credito coche,False
colegiatura universidad,colegiatura universidad,Educación,Universidad,train,16882272754b,colegiatura universidad,False
colegiatura uni,colegiatura universidad,Educación,Universidad,train,16882272754b,colegiatura uni,True
cargo colegiatura universidad,colegiatura universidad,Educación,Universidad,train,16882272754b,cargo colegiatura universidad,True
colegiatura universidad mensual,colegiatura universidad,Educación,Universidad,train,16882272754b,colegiatura universidad mensual,True
material para clase,material para clase,Educación,Material escolar,train,54615761c37a,material para clase,False
cargo material para clase,material para clase,Educación,Material escolar,train,54615761c37a,cargo material para clase,True
material para clase mensual,material para clase,Educación,Material escolar,train,54615761c37a,material para clase mensual,True
Material escolar,Material escolar,Educación,Material escolar,train,71579727ade3,material escolar,False
cargo material escolar,Material escolar,Educación,Material escolar,train,71579727ade3,cargo material escolar,True
material escolar mensual,Material escolar,Educación,Material escolar,train,71579727ade3,material escolar mensual,True
curso online,curso online,Educación,Cursos,train,756fcb60e046,curso online,False
cargo curso online,curso online,Educación,Cursos,train,756fcb60e046,cargo curso online,True
curso online mensual,curso online,Educación,Cursos,train,756fcb60e046,curso online mensual,True
Curso en línea,Curso en línea,Educación,Cursos,train,88e04d09dd38,curso en linea,False
cargo curso en línea,Curso en línea,Educación,Cursos,train,88e04d09dd38,cargo curso en linea,True
curso en línea mensual,Curso en línea,Educación,Cursos,train,88e04d09dd38,curso en linea mensual,True
Universidad,Universidad,Educación,Universidad,train,b5e0384e8762,universidad,False
uni,Universidad,Educación,Universidad,train,b5e0384e8762,uni,True
cargo universidad,Universidad,Educación,Universidad,train,b5e0384e8762,cargo universidad,True
universidad mensual,Universidad,Educación,Universidad,train,b5e0384e8762,universidad mensual,True
Curso,Curso,Educación,Cursos,validation,c62869ade448,curso,False
Colegiatura,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,colegiatura,False
cargo colegiatura,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,cargo colegiatura,True
colegiatura mensual,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,colegiatura mensual,True
museo fin de semana,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,museo fin de semana,False
cargo museo fin de semana,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,cargo museo fin de semana,True
museo fin de semana mensual,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,museo fin de semana mensual,True
Servicio de streaming,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,servicio de streaming,False
serv de streaming,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,serv de streaming,True
cargo servicio de streaming,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,cargo servicio de streaming,True
servicio de streaming mensual,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,servicio de streaming mensual,True
entrada al cine,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,entrada al cine,False
cargo entrada al cine,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,cargo entrada al cine,True
entrada al cine mensual,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,entrada al cine mensual,True
Actividad deportiva,Actividad deportiva,Entretenimiento,Deportes,test,5656bb34baeb,actividad deportiva,False
boletos de concierto,boletos de concierto,Entretenimiento,Conciertos,test,694aff358e20,boletos de concierto,False
Concierto,Concierto,Entretenimiento,Conciertos,train,86191f74decd,concierto,False
cargo concierto,Concierto,Entretenimiento,Conciertos,train,86191f74decd,cargo concierto,True
concierto mensual,Concierto,Entretenimiento,Conciertos,train,86191f74decd,concierto mensual,True
inscripción gym,inscripción gym,Entretenimiento,Deportes,validation,870741fc2947,inscripcion gym,False
Cine,Cine,Entretenimiento,Cine,train,acacf2d4765c,cine,False
cargo cine,Cine,Entretenimiento,Cine,train,acacf2d4765c,cargo cine,True
cine mensual,Cine,Entretenimiento,Cine,train,acacf2d4765c,cine mensual,True
compra de videojuego,compra de videojuego,Entretenimiento,Videojuegos,test,d83b59cf4def,compra de videojuego,False
Actividad recreativa,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,actividad recreativa,False
cargo actividad recreativa,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,cargo actividad recreativa,True
actividad recreativa mensual,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,actividad recreativa mensual,True
Suscripción,Suscripción,Entretenimiento,Suscripciones,validation,ded72e07cebb,suscripcion,False
netflix mensual,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,netflix mensual,False
netflix mens,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,netflix mens,True
cargo netflix mensual,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,cargo netflix mensual,True
netflix mensual mensual,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,netflix mensual mensual,True
Entretenimiento,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,entretenimiento,False
cargo entretenimiento,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,cargo entretenimiento,True
entretenimiento mensual,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,entretenimiento mensual,True
Inversión,Inversión,Finanzas,Inversiones,train,0491351a0e43,inversion,False
inv,Inversión,Finanzas,Inversiones,train,0491351a0e43,inv,True
cargo inversión,Inversión,Finanzas,Inversiones,train,0491351a0e43,cargo inversion,True
Aportación a inversión,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,aportacion a inversion,False
aportación a inv,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,aportacion a inv,True
cargo aportación a inversión,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,cargo aportacion a inversion,True
aportación a inversión mensual,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,aportacion a inversion mensual,True
inversión en cetes,inversión en cetes,Finanzas,Inversiones,test,70ef0c7a4bf6,inversion en cetes,False
fondo de emergencia,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,fondo de emergencia,False
cargo fondo de emergencia,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,cargo fondo de emergencia,True
fondo de emergencia mensual,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,fondo de emergencia mensual,True
ahorro quincenal,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,ahorro quincenal,False
cargo ahorro quincenal,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,cargo ahorro quincenal,True
ahorro quincenal mensual,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,ahorro quincenal mensual,True
Ahorro,Ahorro,Finanzas,Ahorro,train,f07198a554b1,ahorro,False
cargo ahorro,Ahorro,Finanzas,Ahorro,train,f07198a554b1,cargo ahorro,True
ahorro mensual,Ahorro,Finanzas,Ahorro,train,f07198a554b1,ahorro mensual,True
compra de fondo de inversión,compra de fondo de inversión,Finanzas,Inversiones,validation,f2b75cd99d3f,compra de fondo de inversion,False
Frituras,Frituras,Otros,Frituras,train,15b02f832fbe,frituras,False
cargo frituras,Frituras,Otros,Frituras,train,15b02f832fbe,cargo frituras,True
frituras mensual,Frituras,Otros,Frituras,train,15b02f832fbe,frituras mensual,True
Donación,Donación,Otros,Donaciones,train,1e746161db90,donacion,False
